id,pokemon,species_id,height,weight,base_experience,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,ability_1,ability_2,ability_hidden,color_1,color_2,color_f,egg_group_1,egg_group_2,url_image,generation_id,evolves_from_species_id,evolution_chain_id,shape_id,shape
157,typhlosion,157,1.7,79.5,240,fire,NA,84,78,78,109,85,100,blaze,NA,flash-fire,#F08030,NA,NA,ground,NA,157.png,2,156,80,8,quadruped
158,totodile,158,0.6,9.5,63,water,NA,65,64,50,44,48,43,torrent,NA,sheer-force,#6890F0,NA,NA,monster,water1,158.png,2,NA,81,6,upright
159,croconaw,159,1.1,25,142,water,NA,80,80,65,59,63,58,torrent,NA,sheer-force,#6890F0,NA,NA,monster,water1,159.png,2,158,81,6,upright
160,feraligatr,160,2.3,88.8,239,water,NA,105,100,85,79,83,78,torrent,NA,sheer-force,#6890F0,NA,NA,monster,water1,160.png,2,159,81,6,upright
161,sentret,161,0.8,6,43,normal,NA,46,34,35,35,45,20,run-away,keen-eye,frisk,#A8A878,NA,NA,ground,NA,161.png,2,NA,82,8,quadruped
162,furret,162,1.8,32.5,145,normal,NA,76,64,85,45,55,90,run-away,keen-eye,frisk,#A8A878,NA,NA,ground,NA,162.png,2,161,82,8,quadruped
163,hoothoot,163,0.7,21.2,52,normal,flying,30,30,60,36,56,50,insomnia,keen-eye,tinted-lens,#A8A878,#A890F0,#A8A295,flying,NA,163.png,2,NA,83,9,wings
164,noctowl,164,1.6,40.8,155,normal,flying,50,50,100,76,96,70,insomnia,keen-eye,tinted-lens,#A8A878,#A890F0,#A8A295,flying,NA,164.png,2,163,83,9,wings
165,ledyba,165,1,10.8,53,bug,flying,20,30,40,40,80,55,swarm,early-bird,rattled,#A8B820,#A890F0,#A8AE52,bug,NA,165.png,2,NA,84,9,wings
166,ledian,166,1.4,35.6,137,bug,flying,35,50,55,55,110,85,swarm,early-bird,iron-fist,#A8B820,#A890F0,#A8AE52,bug,NA,166.png,2,165,84,9,wings
167,spinarak,167,0.5,8.5,50,bug,poison,60,40,40,40,40,30,swarm,insomnia,sniper,#A8B820,#A040A0,#A69A3F,bug,NA,167.png,2,NA,85,14,armor
168,ariados,168,1.1,33.5,137,bug,poison,90,70,70,60,60,40,swarm,insomnia,sniper,#A8B820,#A040A0,#A69A3F,bug,NA,168.png,2,167,85,14,armor
169,crobat,169,1.8,75,241,poison,flying,90,80,85,70,80,130,inner-focus,NA,infiltrator,#A040A0,#A890F0,#A153B3,flying,NA,169.png,2,42,17,13,bug-wings
170,chinchou,170,0.5,12,66,water,electric,38,38,75,56,56,67,volt-absorb,illuminate,water-absorb,#6890F0,#F8D030,#8A9FC1,water2,NA,170.png,2,NA,86,3,fish
171,lanturn,171,1.2,22.5,161,water,electric,58,58,125,76,76,67,volt-absorb,illuminate,water-absorb,#6890F0,#F8D030,#8A9FC1,water2,NA,171.png,2,170,86,3,fish
172,pichu,172,0.3,2,41,electric,NA,40,15,20,35,35,60,static,NA,lightning-rod,#F8D030,NA,NA,no-eggs,NA,172.png,2,NA,10,8,quadruped
173,cleffa,173,0.3,3,44,fairy,NA,25,28,50,45,55,15,cute-charm,magic-guard,friend-guard,#EE99AC,NA,NA,no-eggs,NA,173.png,2,NA,14,6,upright
174,igglybuff,174,0.3,1,42,normal,fairy,30,15,90,40,20,15,cute-charm,competitive,friend-guard,#A8A878,#EE99AC,#B8A484,no-eggs,NA,174.png,2,NA,16,12,humanoid
175,togepi,175,0.3,1.5,49,fairy,NA,20,65,35,40,65,20,hustle,serene-grace,super-luck,#EE99AC,NA,NA,no-eggs,NA,175.png,2,NA,87,12,humanoid
176,togetic,176,0.6,3.2,142,fairy,flying,40,85,55,80,105,40,hustle,serene-grace,super-luck,#EE99AC,#A890F0,#DD96BC,flying,fairy,176.png,2,175,87,12,humanoid
177,natu,177,0.2,2,64,psychic,flying,50,45,40,70,45,70,synchronize,early-bird,magic-bounce,#F85888,#A890F0,#E465A1,flying,NA,177.png,2,NA,88,9,wings
178,xatu,178,1.5,15,165,psychic,flying,75,70,65,95,70,95,synchronize,early-bird,magic-bounce,#F85888,#A890F0,#E465A1,flying,NA,178.png,2,177,88,9,wings
179,mareep,179,0.6,7.8,56,electric,NA,40,40,55,65,45,35,static,NA,plus,#F8D030,NA,NA,monster,ground,179.png,2,NA,89,8,quadruped
180,flaaffy,180,0.8,13.3,128,electric,NA,55,55,70,80,60,45,static,NA,plus,#F8D030,NA,NA,monster,ground,180.png,2,179,89,6,upright
181,ampharos,181,1.4,61.5,230,electric,NA,75,85,90,115,90,55,static,NA,plus,#F8D030,NA,NA,monster,ground,181.png,2,180,89,6,upright
182,bellossom,182,0.4,5.8,221,grass,NA,80,95,75,90,100,50,chlorophyll,NA,healer,#78C850,NA,NA,plant,NA,182.png,2,44,18,12,humanoid
183,marill,183,0.4,8.5,88,water,fairy,20,50,70,20,50,40,thick-fat,huge-power,sap-sipper,#6890F0,#EE99AC,#8892DF,water1,fairy,183.png,2,298,90,6,upright
184,azumarill,184,0.8,28.5,189,water,fairy,50,80,100,60,80,50,thick-fat,huge-power,sap-sipper,#6890F0,#EE99AC,#8892DF,water1,fairy,184.png,2,183,90,6,upright
185,sudowoodo,185,1.2,38,144,rock,NA,100,115,70,30,65,30,sturdy,rock-head,rattled,#B8A038,NA,NA,mineral,NA,185.png,2,438,91,12,humanoid
186,politoed,186,1.1,33.9,225,water,NA,75,75,90,90,100,70,water-absorb,damp,drizzle,#6890F0,NA,NA,water1,NA,186.png,2,61,26,12,humanoid
187,hoppip,187,0.4,0.5,50,grass,flying,35,40,35,35,55,50,chlorophyll,leaf-guard,infiltrator,#78C850,#A890F0,#83BA76,fairy,plant,187.png,2,NA,92,6,upright
188,skiploom,188,0.6,1,119,grass,flying,45,50,55,45,65,80,chlorophyll,leaf-guard,infiltrator,#78C850,#A890F0,#83BA76,fairy,plant,188.png,2,187,92,6,upright
189,jumpluff,189,0.8,3,207,grass,flying,55,70,75,55,95,110,chlorophyll,leaf-guard,infiltrator,#78C850,#A890F0,#83BA76,fairy,plant,189.png,2,188,92,6,upright
190,aipom,190,0.8,11.5,72,normal,NA,70,55,55,40,55,85,run-away,pickup,skill-link,#A8A878,NA,NA,ground,NA,190.png,2,NA,93,6,upright
191,sunkern,191,0.3,1.8,36,grass,NA,30,30,30,30,30,30,chlorophyll,solar-power,early-bird,#78C850,NA,NA,plant,NA,191.png,2,NA,94,1,ball
192,sunflora,192,0.8,8.5,149,grass,NA,75,55,75,105,85,30,chlorophyll,solar-power,early-bird,#78C850,NA,NA,plant,NA,192.png,2,191,94,12,humanoid
193,yanma,193,1.2,38,78,bug,flying,65,45,65,75,45,95,speed-boost,compound-eyes,frisk,#A8B820,#A890F0,#A8AE52,bug,NA,193.png,2,NA,95,13,bug-wings
194,wooper,194,0.4,8.5,42,water,ground,45,45,55,25,25,15,damp,water-absorb,unaware,#6890F0,#E0C068,#859BCF,water1,ground,194.png,2,NA,96,7,legs
195,quagsire,195,1.4,75,151,water,ground,85,85,95,65,65,35,damp,water-absorb,unaware,#6890F0,#E0C068,#859BCF,water1,ground,195.png,2,194,96,6,upright
196,espeon,196,0.9,26.5,184,psychic,NA,65,60,65,130,95,110,synchronize,NA,magic-bounce,#F85888,NA,NA,ground,NA,196.png,2,133,67,8,quadruped
197,umbreon,197,1,27,184,dark,NA,65,110,95,60,130,65,synchronize,NA,inner-focus,#705848,NA,NA,ground,NA,197.png,2,133,67,8,quadruped
198,murkrow,198,0.5,2.1,81,dark,flying,85,42,60,85,42,91,insomnia,super-luck,prankster,#705848,#A890F0,#7D6570,flying,NA,198.png,2,NA,97,9,wings
199,slowking,199,2,79.5,172,water,psychic,75,80,95,100,110,30,oblivious,own-tempo,regenerator,#6890F0,#F85888,#8A82D6,monster,water1,199.png,2,79,33,6,upright
200,misdreavus,200,0.7,1,87,ghost,NA,60,60,60,85,85,85,levitate,NA,NA,#705898,NA,NA,indeterminate,NA,200.png,2,NA,98,1,ball
201,unown,201,0.5,5,118,psychic,NA,72,48,48,72,48,48,levitate,NA,NA,#F85888,NA,NA,no-eggs,NA,201.png,2,NA,99,1,ball
202,wobbuffet,202,1.3,28.5,142,psychic,NA,33,58,190,33,58,33,shadow-tag,NA,telepathy,#F85888,NA,NA,indeterminate,NA,202.png,2,360,100,5,blob
203,girafarig,203,1.5,41.5,159,normal,psychic,80,65,70,90,65,85,inner-focus,early-bird,sap-sipper,#A8A878,#F85888,#BB947B,ground,NA,203.png,2,NA,101,8,quadruped
204,pineco,204,0.6,7.2,58,bug,NA,65,90,50,35,35,15,sturdy,NA,overcoat,#A8B820,NA,NA,bug,NA,204.png,2,NA,102,1,ball
205,forretress,205,1.2,125.8,163,bug,steel,90,140,75,60,60,40,sturdy,NA,overcoat,#A8B820,#B8B8D0,#ABB84A,bug,NA,205.png,2,204,102,1,ball
206,dunsparce,206,1.5,14,145,normal,NA,70,70,100,65,65,45,serene-grace,run-away,rattled,#A8A878,NA,NA,ground,NA,206.png,2,NA,103,2,squiggle
207,gligar,207,1.1,64.8,86,ground,flying,75,105,65,35,65,85,hyper-cutter,sand-veil,immunity,#E0C068,#A890F0,#D2B488,bug,NA,207.png,2,NA,104,9,wings
208,steelix,208,9.2,400,179,steel,ground,85,200,75,55,65,30,rock-head,sturdy,sheer-force,#B8B8D0,#E0C068,#C1B9B6,mineral,NA,208.png,2,95,41,2,squiggle
209,snubbull,209,0.6,7.8,60,fairy,NA,80,50,60,40,40,30,intimidate,run-away,rattled,#EE99AC,NA,NA,ground,fairy,209.png,2,NA,105,12,humanoid
210,granbull,210,1.4,48.7,158,fairy,NA,120,75,90,60,60,45,intimidate,quick-feet,rattled,#EE99AC,NA,NA,ground,fairy,210.png,2,209,105,6,upright
211,qwilfish,211,0.5,3.9,86,water,poison,95,75,65,55,55,85,poison-point,swift-swim,intimidate,#6890F0,#A040A0,#757CDC,water2,NA,211.png,2,NA,106,3,fish
212,scizor,212,1.8,118,175,bug,steel,130,100,70,55,80,65,swarm,technician,light-metal,#A8B820,#B8B8D0,#ABB84A,bug,NA,212.png,2,123,58,13,bug-wings
213,shuckle,213,0.6,20.5,177,bug,rock,10,230,20,10,230,5,sturdy,gluttony,contrary,#A8B820,#B8A038,#ABB225,bug,NA,213.png,2,NA,107,14,armor
214,heracross,214,1.5,54,175,bug,fighting,125,75,80,40,95,85,swarm,guts,moxie,#A8B820,#C03028,#AD9721,bug,NA,214.png,2,NA,108,12,humanoid
215,sneasel,215,0.9,28,86,dark,ice,95,55,55,35,75,115,inner-focus,keen-eye,pickpocket,#705848,#98D8D8,#79776A,ground,NA,215.png,2,NA,109,6,upright
216,teddiursa,216,0.6,8.8,66,normal,NA,80,50,60,50,50,40,pickup,quick-feet,honey-gather,#A8A878,NA,NA,ground,NA,216.png,2,NA,110,6,upright
217,ursaring,217,1.8,125.8,175,normal,NA,130,75,90,75,75,55,guts,quick-feet,unnerve,#A8A878,NA,NA,ground,NA,217.png,2,216,110,6,upright
218,slugma,218,0.7,35,50,fire,NA,40,40,40,70,40,20,magma-armor,flame-body,weak-armor,#F08030,NA,NA,indeterminate,NA,218.png,2,NA,111,2,squiggle
219,magcargo,219,0.8,55,144,fire,rock,50,120,50,80,80,30,magma-armor,flame-body,weak-armor,#F08030,#B8A038,#E28731,indeterminate,NA,219.png,2,218,111,2,squiggle
220,swinub,220,0.4,6.5,50,ice,ground,50,40,50,30,30,50,oblivious,snow-cloak,thick-fat,#98D8D8,#E0C068,#A9D2BC,ground,NA,220.png,2,NA,112,8,quadruped
221,piloswine,221,1.1,55.8,158,ice,ground,100,80,100,60,60,50,oblivious,snow-cloak,thick-fat,#98D8D8,#E0C068,#A9D2BC,ground,NA,221.png,2,220,112,8,quadruped
222,corsola,222,0.6,5,133,water,rock,55,85,55,65,85,35,hustle,natural-cure,regenerator,#6890F0,#B8A038,#7B93C3,water1,water3,222.png,2,NA,113,14,armor
223,remoraid,223,0.6,12,60,water,NA,65,35,35,65,35,65,hustle,sniper,moody,#6890F0,NA,NA,water1,water2,223.png,2,NA,114,3,fish
224,octillery,224,0.9,28.5,168,water,NA,105,75,75,105,75,45,suction-cups,sniper,moody,#6890F0,NA,NA,water1,water2,224.png,2,223,114,10,tentacles
225,delibird,225,0.9,16,116,ice,flying,55,45,45,65,45,75,vital-spirit,hustle,insomnia,#98D8D8,#A890F0,#9BC6DD,water1,ground,225.png,2,NA,115,9,wings
226,mantine,226,2.1,220,163,water,flying,40,70,65,80,140,70,swift-swim,water-absorb,water-veil,#6890F0,#A890F0,#7790F0,water1,NA,226.png,2,458,116,9,wings
227,skarmory,227,1.7,50.5,163,steel,flying,80,140,65,40,70,70,keen-eye,sturdy,weak-armor,#B8B8D0,#A890F0,#B4AED7,flying,NA,227.png,2,NA,117,9,wings
228,houndour,228,0.6,10.8,66,dark,fire,60,30,45,80,50,65,early-bird,flash-fire,unnerve,#705848,#F08030,#8F6142,ground,NA,228.png,2,NA,118,8,quadruped
229,houndoom,229,1.4,35,175,dark,fire,90,50,75,110,80,95,early-bird,flash-fire,unnerve,#705848,#F08030,#8F6142,ground,NA,229.png,2,228,118,8,quadruped
230,kingdra,230,1.8,152,243,water,dragon,95,95,75,95,95,85,swift-swim,sniper,damp,#6890F0,#7038F8,#697AF1,water1,dragon,230.png,2,117,54,5,blob
231,phanpy,231,0.5,33.5,66,ground,NA,60,60,90,40,40,40,pickup,NA,sand-veil,#E0C068,NA,NA,ground,NA,231.png,2,NA,119,8,quadruped
232,donphan,232,1.1,120,175,ground,NA,120,120,90,60,60,50,sturdy,NA,sand-veil,#E0C068,NA,NA,ground,NA,232.png,2,231,119,8,quadruped
233,porygon2,233,0.6,32.5,180,normal,NA,80,90,85,105,95,60,trace,download,analytic,#A8A878,NA,NA,mineral,NA,233.png,2,137,68,7,legs
234,stantler,234,1.4,71.2,163,normal,NA,95,62,73,85,65,85,intimidate,frisk,sap-sipper,#A8A878,NA,NA,ground,NA,234.png,2,NA,120,8,quadruped
235,smeargle,235,1.2,58,88,normal,NA,20,35,55,20,45,75,own-tempo,technician,moody,#A8A878,NA,NA,ground,NA,235.png,2,NA,121,6,upright
236,tyrogue,236,0.7,21,42,fighting,NA,35,35,35,35,35,35,guts,steadfast,vital-spirit,#C03028,NA,NA,no-eggs,NA,236.png,2,NA,47,12,humanoid
237,hitmontop,237,1.4,48,159,fighting,NA,95,95,50,35,110,70,intimidate,technician,steadfast,#C03028,NA,NA,humanshape,NA,237.png,2,236,47,6,upright
238,smoochum,238,0.4,6,61,ice,psychic,30,15,45,85,65,65,oblivious,forewarn,hydration,#98D8D8,#F85888,#AFB8C4,no-eggs,NA,238.png,2,NA,59,12,humanoid
239,elekid,239,0.6,23.5,72,electric,NA,63,37,45,65,55,95,static,NA,vital-spirit,#F8D030,NA,NA,no-eggs,NA,239.png,2,NA,60,12,humanoid
240,magby,240,0.7,21.4,73,fire,NA,75,37,45,70,55,83,flame-body,NA,vital-spirit,#F08030,NA,NA,no-eggs,NA,240.png,2,NA,61,6,upright
241,miltank,241,1.2,75.5,172,normal,NA,80,105,95,40,70,100,thick-fat,scrappy,sap-sipper,#A8A878,NA,NA,ground,NA,241.png,2,NA,122,6,upright
242,blissey,242,1.5,46.8,608,normal,NA,10,10,255,75,135,55,natural-cure,serene-grace,healer,#A8A878,NA,NA,fairy,NA,242.png,2,113,51,12,humanoid
243,raikou,243,1.9,178,261,electric,NA,85,75,90,115,100,115,pressure,NA,volt-absorb,#F8D030,NA,NA,no-eggs,NA,243.png,2,NA,123,8,quadruped
244,entei,244,2.1,198,261,fire,NA,115,85,115,90,75,100,pressure,NA,flash-fire,#F08030,NA,NA,no-eggs,NA,244.png,2,NA,124,8,quadruped
245,suicune,245,2,187,261,water,NA,75,115,100,90,115,85,pressure,NA,water-absorb,#6890F0,NA,NA,no-eggs,NA,245.png,2,NA,125,8,quadruped
246,larvitar,246,0.6,72,60,rock,ground,64,50,50,45,50,41,guts,NA,sand-veil,#B8A038,#E0C068,#C1A743,monster,NA,246.png,2,NA,126,6,upright
247,pupitar,247,1.2,152,144,rock,ground,84,70,70,65,70,51,shed-skin,NA,NA,#B8A038,#E0C068,#C1A743,monster,NA,247.png,2,246,126,2,squiggle
248,tyranitar,248,2,202,270,rock,dark,134,110,100,95,100,61,sand-stream,NA,unnerve,#B8A038,#705848,#A68E3B,monster,NA,248.png,2,247,126,6,upright
249,lugia,249,5.2,216,306,psychic,flying,90,130,106,90,154,110,pressure,NA,multiscale,#F85888,#A890F0,#E465A1,no-eggs,NA,249.png,2,NA,127,9,wings
250,ho-oh,250,3.8,199,306,fire,flying,130,90,106,110,154,90,pressure,NA,regenerator,#F08030,#A890F0,#DE835E,no-eggs,NA,250.png,2,NA,128,9,wings
251,celebi,251,0.6,5,270,psychic,grass,100,100,100,100,100,100,natural-cure,NA,NA,#F85888,#78C850,#D8737A,no-eggs,NA,251.png,2,NA,129,12,humanoid
252,treecko,252,0.5,5,62,grass,NA,45,35,40,65,55,70,overgrow,NA,unburden,#78C850,NA,NA,monster,dragon,252.png,3,NA,130,6,upright
253,grovyle,253,0.9,21.6,142,grass,NA,65,45,50,85,65,95,overgrow,NA,unburden,#78C850,NA,NA,monster,dragon,253.png,3,252,130,6,upright
254,sceptile,254,1.7,52.2,239,grass,NA,85,65,70,105,85,120,overgrow,NA,unburden,#78C850,NA,NA,monster,dragon,254.png,3,253,130,6,upright
255,torchic,255,0.4,2.5,62,fire,NA,60,40,45,70,50,45,blaze,NA,speed-boost,#F08030,NA,NA,ground,NA,255.png,3,NA,131,7,legs
256,combusken,256,0.9,19.5,142,fire,fighting,85,60,60,85,60,55,blaze,NA,speed-boost,#F08030,#C03028,#E46C2E,ground,NA,256.png,3,255,131,6,upright
257,blaziken,257,1.9,52,239,fire,fighting,120,70,80,110,70,80,blaze,NA,speed-boost,#F08030,#C03028,#E46C2E,ground,NA,257.png,3,256,131,6,upright
258,mudkip,258,0.4,7.6,62,water,NA,70,50,50,50,50,40,torrent,NA,damp,#6890F0,NA,NA,monster,water1,258.png,3,NA,132,8,quadruped
259,marshtomp,259,0.7,28,142,water,ground,85,70,70,60,70,50,torrent,NA,damp,#6890F0,#E0C068,#859BCF,monster,water1,259.png,3,258,132,6,upright
260,swampert,260,1.5,81.9,241,water,ground,110,90,100,85,90,60,torrent,NA,damp,#6890F0,#E0C068,#859BCF,monster,water1,260.png,3,259,132,6,upright
261,poochyena,261,0.5,13.6,44,dark,NA,55,35,35,30,30,35,run-away,quick-feet,rattled,#705848,NA,NA,ground,NA,261.png,3,NA,133,8,quadruped
262,mightyena,262,1,37,147,dark,NA,90,70,70,60,60,70,intimidate,quick-feet,moxie,#705848,NA,NA,ground,NA,262.png,3,261,133,8,quadruped
263,zigzagoon,263,0.4,17.5,48,normal,NA,30,41,38,30,41,60,pickup,gluttony,quick-feet,#A8A878,NA,NA,ground,NA,263.png,3,NA,134,8,quadruped
264,linoone,264,0.5,32.5,147,normal,NA,70,61,78,50,61,100,pickup,gluttony,quick-feet,#A8A878,NA,NA,ground,NA,264.png,3,263,134,8,quadruped
265,wurmple,265,0.3,3.6,39,bug,NA,45,35,45,20,30,20,shield-dust,NA,run-away,#A8B820,NA,NA,bug,NA,265.png,3,NA,135,2,squiggle
266,silcoon,266,0.6,10,72,bug,NA,35,55,50,25,25,15,shed-skin,NA,NA,#A8B820,NA,NA,bug,NA,266.png,3,265,135,1,ball
267,beautifly,267,1,28.4,178,bug,flying,70,50,60,100,50,65,swarm,NA,rivalry,#A8B820,#A890F0,#A8AE52,bug,NA,267.png,3,266,135,13,bug-wings
268,cascoon,268,0.7,11.5,41,bug,NA,35,55,50,25,25,15,shed-skin,NA,NA,#A8B820,NA,NA,bug,NA,268.png,3,265,135,1,ball
269,dustox,269,1.2,31.6,135,bug,poison,50,70,60,50,90,65,shield-dust,NA,compound-eyes,#A8B820,#A040A0,#A69A3F,bug,NA,269.png,3,268,135,13,bug-wings
270,lotad,270,0.5,2.6,44,water,grass,30,30,40,40,50,30,swift-swim,rain-dish,own-tempo,#6890F0,#78C850,#6B9DC9,water1,plant,270.png,3,NA,136,14,armor
271,lombre,271,1.2,32.5,119,water,grass,50,50,60,60,70,50,swift-swim,rain-dish,own-tempo,#6890F0,#78C850,#6B9DC9,water1,plant,271.png,3,270,136,12,humanoid
272,ludicolo,272,1.5,55,216,water,grass,70,70,80,90,100,70,swift-swim,rain-dish,own-tempo,#6890F0,#78C850,#6B9DC9,water1,plant,272.png,3,271,136,12,humanoid
273,seedot,273,0.5,4,44,grass,NA,40,50,40,30,30,30,chlorophyll,early-bird,pickpocket,#78C850,NA,NA,ground,plant,273.png,3,NA,137,7,legs
274,nuzleaf,274,1,28,119,grass,dark,70,40,70,60,40,60,chlorophyll,early-bird,pickpocket,#78C850,#705848,#76AC4E,ground,plant,274.png,3,273,137,12,humanoid
275,shiftry,275,1.3,59.6,216,grass,dark,100,60,90,90,60,80,chlorophyll,early-bird,pickpocket,#78C850,#705848,#76AC4E,ground,plant,275.png,3,274,137,12,humanoid
276,taillow,276,0.3,2.3,54,normal,flying,55,30,40,30,30,85,guts,NA,scrappy,#A8A878,#A890F0,#A8A295,flying,NA,276.png,3,NA,138,9,wings
277,swellow,277,0.7,19.8,151,normal,flying,85,60,60,50,50,125,guts,NA,scrappy,#A8A878,#A890F0,#A8A295,flying,NA,277.png,3,276,138,9,wings
278,wingull,278,0.6,9.5,54,water,flying,30,30,40,55,30,85,keen-eye,NA,rain-dish,#6890F0,#A890F0,#7790F0,water1,flying,278.png,3,NA,139,9,wings
279,pelipper,279,1.2,28,151,water,flying,50,100,60,85,70,65,keen-eye,NA,rain-dish,#6890F0,#A890F0,#7790F0,water1,flying,279.png,3,278,139,9,wings
280,ralts,280,0.4,6.6,40,psychic,fairy,25,25,28,45,35,40,synchronize,trace,telepathy,#F85888,#EE99AC,#F56790,indeterminate,NA,280.png,3,NA,140,12,humanoid
281,kirlia,281,0.8,20.2,97,psychic,fairy,35,35,38,65,55,50,synchronize,trace,telepathy,#F85888,#EE99AC,#F56790,indeterminate,NA,281.png,3,280,140,12,humanoid
282,gardevoir,282,1.6,48.4,233,psychic,fairy,65,65,68,125,115,80,synchronize,trace,telepathy,#F85888,#EE99AC,#F56790,indeterminate,NA,282.png,3,281,140,12,humanoid
283,surskit,283,0.5,1.7,54,bug,water,30,32,40,50,52,65,swift-swim,NA,rain-dish,#A8B820,#6890F0,#98AE52,water1,bug,283.png,3,NA,141,14,armor
284,masquerain,284,0.8,3.6,145,bug,flying,60,62,70,80,82,60,intimidate,NA,unnerve,#A8B820,#A890F0,#A8AE52,water1,bug,284.png,3,283,141,13,bug-wings
285,shroomish,285,0.4,4.5,59,grass,NA,40,60,60,40,60,35,effect-spore,poison-heal,quick-feet,#78C850,NA,NA,fairy,plant,285.png,3,NA,142,7,legs
286,breloom,286,1.2,39.2,161,grass,fighting,130,80,60,60,60,70,effect-spore,poison-heal,technician,#78C850,#C03028,#89A346,fairy,plant,286.png,3,285,142,6,upright
287,slakoth,287,0.8,24,56,normal,NA,60,60,60,35,35,30,truant,NA,NA,#A8A878,NA,NA,ground,NA,287.png,3,NA,143,8,quadruped
288,vigoroth,288,1.4,46.5,154,normal,NA,80,80,80,55,55,90,vital-spirit,NA,NA,#A8A878,NA,NA,ground,NA,288.png,3,287,143,6,upright
289,slaking,289,2,130.5,252,normal,NA,160,100,150,95,65,100,truant,NA,NA,#A8A878,NA,NA,ground,NA,289.png,3,288,143,12,humanoid
290,nincada,290,0.5,5.5,53,bug,ground,45,90,31,30,30,40,compound-eyes,NA,run-away,#A8B820,#E0C068,#B5B931,bug,NA,290.png,3,NA,144,14,armor
291,ninjask,291,0.8,12,160,bug,flying,90,45,61,50,50,160,speed-boost,NA,infiltrator,#A8B820,#A890F0,#A8AE52,bug,NA,291.png,3,290,144,13,bug-wings
292,shedinja,292,0.8,1.2,83,bug,ghost,90,45,1,30,30,40,wonder-guard,NA,NA,#A8B820,#705898,#9AA03D,mineral,NA,292.png,3,290,144,5,blob
293,whismur,293,0.6,16.3,48,normal,NA,51,23,64,51,23,28,soundproof,NA,rattled,#A8A878,NA,NA,monster,ground,293.png,3,NA,145,6,upright
294,loudred,294,1,40.5,126,normal,NA,71,43,84,71,43,48,soundproof,NA,scrappy,#A8A878,NA,NA,monster,ground,294.png,3,293,145,6,upright
295,exploud,295,1.5,84,221,normal,NA,91,63,104,91,73,68,soundproof,NA,scrappy,#A8A878,NA,NA,monster,ground,295.png,3,294,145,6,upright
296,makuhita,296,1,86.4,47,fighting,NA,60,30,72,20,30,25,thick-fat,guts,sheer-force,#C03028,NA,NA,humanshape,NA,296.png,3,NA,146,12,humanoid
297,hariyama,297,2.3,253.8,166,fighting,NA,120,60,144,40,60,50,thick-fat,guts,sheer-force,#C03028,NA,NA,humanshape,NA,297.png,3,296,146,12,humanoid
298,azurill,298,0.2,2,38,normal,fairy,20,40,50,20,40,20,thick-fat,huge-power,sap-sipper,#A8A878,#EE99AC,#B8A484,no-eggs,NA,298.png,3,NA,90,7,legs
299,nosepass,299,1,97,75,rock,NA,45,135,30,45,90,30,sturdy,magnet-pull,sand-force,#B8A038,NA,NA,mineral,NA,299.png,3,NA,147,12,humanoid
300,skitty,300,0.6,11,52,normal,NA,45,45,50,35,35,50,cute-charm,normalize,wonder-skin,#A8A878,NA,NA,ground,fairy,300.png,3,NA,148,8,quadruped
301,delcatty,301,1.1,32.6,133,normal,NA,65,65,70,55,55,70,cute-charm,normalize,wonder-skin,#A8A878,NA,NA,ground,fairy,301.png,3,300,148,8,quadruped
302,sableye,302,0.5,11,133,dark,ghost,75,75,50,65,65,50,keen-eye,stall,prankster,#705848,#705898,#70585B,humanshape,NA,302.png,3,NA,149,12,humanoid
303,mawile,303,0.6,11.5,133,steel,fairy,85,85,50,55,55,50,hyper-cutter,intimidate,sheer-force,#B8B8D0,#EE99AC,#C5B0C7,ground,fairy,303.png,3,NA,150,12,humanoid
304,aron,304,0.4,60,66,steel,rock,70,100,50,40,40,30,sturdy,rock-head,heavy-metal,#B8B8D0,#B8A038,#B8B2AB,monster,NA,304.png,3,NA,151,8,quadruped
305,lairon,305,0.9,120,151,steel,rock,90,140,60,50,50,40,sturdy,rock-head,heavy-metal,#B8B8D0,#B8A038,#B8B2AB,monster,NA,305.png,3,304,151,8,quadruped
306,aggron,306,2.1,360,239,steel,rock,110,180,70,60,60,50,sturdy,rock-head,heavy-metal,#B8B8D0,#B8A038,#B8B2AB,monster,NA,306.png,3,305,151,6,upright
307,meditite,307,0.6,11.2,56,fighting,psychic,40,55,30,40,55,60,pure-power,NA,telepathy,#C03028,#F85888,#CD393F,humanshape,NA,307.png,3,NA,152,12,humanoid
308,medicham,308,1.3,31.5,144,fighting,psychic,60,75,60,60,75,80,pure-power,NA,telepathy,#C03028,#F85888,#CD393F,humanshape,NA,308.png,3,307,152,12,humanoid
309,electrike,309,0.6,15.2,59,electric,NA,45,40,40,65,40,65,static,lightning-rod,minus,#F8D030,NA,NA,ground,NA,309.png,3,NA,153,8,quadruped
310,manectric,310,1.5,40.2,166,electric,NA,75,60,70,105,60,105,static,lightning-rod,minus,#F8D030,NA,NA,ground,NA,310.png,3,309,153,8,quadruped
311,plusle,311,0.4,4.2,142,electric,NA,50,40,60,85,75,95,plus,NA,lightning-rod,#F8D030,NA,NA,fairy,NA,311.png,3,NA,154,6,upright
312,minun,312,0.4,4.2,142,electric,NA,40,50,60,75,85,95,minus,NA,volt-absorb,#F8D030,NA,NA,fairy,NA,312.png,3,NA,155,6,upright
313,volbeat,313,0.7,17.7,140,bug,NA,73,55,65,47,75,85,illuminate,swarm,prankster,#A8B820,NA,NA,bug,humanshape,313.png,3,NA,156,6,upright
